,R_sub,I_sub,t_sub,R_subpop,I_subpop,t_subpop,R_glob,I_glob,t_glob
0,0.7401212346814307,0.02413098354958039,15.388794622052863,0.7439899094969014,0.026255760771035804,14.4673051072628,0.7417968996885731,0.022454951147512097,14.561020644965764
1,0.7388160269409386,0.020636297955906765,15.95287652140395,0.7438670764909754,0.02278547529401713,14.75711815699315,0.7408999979981532,0.018380317977084573,14.888171470504226
2,0.7376622356979975,0.017147391708154484,16.480567973403513,0.7437565885116043,0.019084262178067243,15.046869031377458,0.740074189494722,0.014674500356099348,15.215124617506111
3,0.7367592590500718,0.01463199635673565,16.93378062137127,0.7436651699569214,0.015736150699767835,15.3124389350179,0.7393776558770428,0.013354556074965373,15.51465980683315
4,0.7359017732742346,0.012012569831806695,17.40103596134262,0.74357520786915,0.012369202232821749,15.602133310469085,0.7386810861607674,0.013354556074965373,15.84124628122083
5,0.7351501494992445,0.009635798971064376,17.8424930648284,0.7434944845007028,0.009461312604230995,15.891828117174427,0.7380473686019591,0.013354556074965373,16.1676600615145
6,0.7345566593302475,0.007792190404969886,18.22940922984263,0.7434278336303555,0.007256711576393006,16.157397966456152,0.7375186242131097,0.013354556074965373,16.466737520267152
7,0.733982819859134,0.006142901697252108,18.63535254529826,0.7433623672957865,0.005342498764729174,16.44714429730186,0.7369952018623819,0.013354556074965373,16.792877936515687
8,0.7335173233768604,0.004850400590979189,19.025719160239355,0.743303726082696,0.0038809813279025666,16.736941212006904,0.7365237157603066,0.013354556074965373,17.11891222386087
9,0.7330910535581376,0.003958891809838401,19.375720769749133,0.7432553789183907,0.00287026557262836,17.002645166154462,0.736133804187641,0.013354556074965373,17.417707578963014
10,0.7327176841624601,0.003204648260140003,19.746024081084688,0.7432079516188544,0.0021032374688947668,17.29257821496962,0.7357509658204135,0.013354556074965373,17.743617525380802
11,0.7324390399171358,0.0026680124591046427,20.07815904672853,0.7431688757986215,0.0021032374688947668,17.558428065614283,0.7354358706871691,0.013354556074965373,18.04234827146131
12,0.7321342130692458,0.0022614804308606065,20.43575172539615,0.7431305642699026,0.0021032374688947668,17.848541056799615,0.7351278332346447,0.013354556074965373,18.368241960019326
13,0.7318946629966471,0.0021032374688947668,20.782407403574492,0.743096301227081,0.0021032374688947668,18.138762478209724,0.7348536750671685,0.013354556074965373,18.694169565826495
14,0.7316955967776175,0.0021032374688947668,21.09924649886687,0.7430680870029884,0.0021032374688947668,18.40490132846745,0.7346293237792985,0.013354556074965373,18.99299014311829
15,0.7315084300190006,0.0021032374688947668,21.43577335469808,0.7430404340197457,0.0021032374688947668,18.695353502102407,0.7344111285505901,0.013354556074965373,19.3190594213795
16,0.7313573836765221,0.0021032374688947668,21.766929198457518,0.7430157060838198,0.0021032374688947668,18.985936121267514,0.7342178682755196,0.013354556074965373,19.645239731277957
17,0.7312253668143742,0.0021032374688947668,22.067466292675142,0.7429953405831995,0.0021032374688947668,19.252422990634066,0.7340603678772962,0.013354556074965373,19.94435565531755
18,0.7311193689044629,0.0021032374688947668,22.390715276923572,0.7429753711086402,0.0021032374688947668,19.543270817823057,0.7339077393919128,0.013354556074965373,20.270811669229357
19,0.7309913772523994,0.0021032374688947668,22.68462194189696,0.7429589136613282,0.0021032374688947668,19.8100083941512,0.7337835872550106,0.013354556074965373,20.570214399245266
20,0.73088346987279,0.0021032374688947668,23.00662949846633,0.7429427603656478,0.0021032374688947668,20.101136665731396,0.7336634628822106,0.013354556074965373,20.897016761731056
21,0.7308070720110679,0.0021032374688947668,23.33195420447622,0.7429282824118005,0.0021032374688947668,20.392415637823873,0.7335575464377457,0.013354556074965373,21.224022969847056
22,0.7307265786510085,0.0021032374688947668,23.63390897448597,0.7429163209324815,0.0021032374688947668,20.659555627441875,0.7334715291005237,0.013354556074965373,21.52396902096962
23,0.7306606983356376,0.0021032374688947668,23.94076171255783,0.7429045412967326,0.0021032374688947668,20.951129080207107,0.7333883877126846,0.013354556074965373,21.85140105327071
24,0.7306149438930977,0.0021032374688947668,24.246517477457516,0.742893934718364,0.0021032374688947668,21.2428580972683,0.7333151094602491,0.013354556074965373,22.17906985488463
25,0.7305622612407648,0.0021032374688947668,24.524477932900396,0.742885121206735,0.0021032374688947668,21.510413626133513,0.7332555767535678,0.013354556074965373,22.4796474463022
26,0.7305242880016406,0.0021032374688947668,24.822337873570724,0.7428763773477723,0.0021032374688947668,21.802442403905893,0.733197962076249,0.013354556074965373,22.80778985914974
27,0.7304863351273267,0.0021032374688947668,25.093635412965188,0.7428690613371572,0.0021032374688947668,22.070272915393836,0.7331510645585502,0.013354556074965373,23.10881037491319
28,0.7304451930268135,0.0021032374688947668,25.38719167039199,0.7428617399333265,0.0021032374688947668,22.36260125857834,0.7331055454535131,0.013354556074965373,23.437442818917287
29,0.730421071451058,0.0021032374688947668,25.67500913558577,0.7428550067365246,0.0021032374688947668,22.655085052042654,0.7330651511748744,0.013354556074965373,23.766334068639697
30,0.7303793998455914,0.0021032374688947668,25.940246840731806,0.7428492685114154,0.0021032374688947668,22.92333096349969,0.7330320193089439,0.013354556074965373,24.06804553526181
31,0.730352510844656,0.0021032374688947668,26.22317660368228,0.7428433960134612,0.0021032374688947668,23.21610990757162,0.7329995264967336,0.013354556074965373,24.397433369582075
32,0.7303237357725522,0.0021032374688947668,26.503369355982137,0.7428378413706807,0.0021032374688947668,23.509040987498423,0.7329702723792546,0.013354556074965373,24.72707863675364
