,R_sub,I_sub,t_sub,R_subpop,I_subpop,t_subpop,R_glob,I_glob,t_glob
0,0.7396068067884598,0.028230812290194876,14.489019476267181,0.7437258648669299,0.028775755777927736,14.172032652388976,0.741839031398619,0.026502589636156523,14.21359505091749
1,0.739011411035561,0.027566041397895345,14.607879296523258,0.7436513550882263,0.02813002963541152,14.239703039667365,0.7414804596428304,0.025586316966018492,14.28950491563167
2,0.7384694640366569,0.026889660329893466,14.726071610160947,0.7435837676566504,0.027475570813350565,14.306677373880651,0.7411365718733871,0.024689606265451133,14.36507355389552
3,0.7379525252227821,0.02623324523235309,14.843093625891886,0.7435226836234267,0.026812706515787675,14.37296074906189,0.7408072716996189,0.023812578330793022,14.440281539721438
4,0.7374947398935464,0.025560460848668504,14.959571396247657,0.7434676964223866,0.026141863724831092,14.438560201776378,0.7404924471936951,0.02295533154459372,14.515109512508868
5,0.737065022991709,0.0249080550020518,15.075582143485892,0.7434184128518635,0.02546357687627385,14.503484631438415,0.7401919704996035,0.022117942884726856,14.589538263052258
6,0.7366825243671614,0.024235967463400933,15.189967371178964,0.743374453880468,0.0247784925571324,14.567744706781639,0.7399056974038509,0.021300468673060055,14.663548824603673
7,0.7363134916667216,0.023584952723044506,15.304248472370286,0.7433354552828659,0.02408737111303048,14.631352760095275,0.7396334669033348,0.020502945090927843,14.737122568139347
8,0.7359694943776768,0.022934533961610458,15.417082380789235,0.7433010681138242,0.023391085152079397,14.694322670978252,0.7393751008063103,0.019725388493276978,14.810241300837932
9,0.7356801755894862,0.02226183807930351,15.52954351633502,0.743270959030612,0.022690615027826017,14.756669741453619,0.7391304034011331,0.01896779555644941,14.882887366657533
10,0.735411035625649,0.021612074350119803,15.641891850247374,0.7432448104751238,0.021987041473951016,14.818410564335032,0.7388991612251702,0.0182301432962238,14.955043747794017
11,0.7351203922942339,0.020963350586096906,15.751828086718612,0.7432223207279952,0.02128153564485092,14.879562886744337,0.738681142962403,0.01751433872845241,15.02669416572918
12,0.7349110746504551,0.020292298506190774,15.861870079348746,0.7432032038475138,0.020575346886485612,14.940145470644268,0.7384760994936955,0.01683905353843865,15.097823180525147
13,0.73471362197118,0.019646975623477607,15.971974930721817,0.7431871895062333,0.019869788618765996,15.00017795218155,0.7382837641182073,0.01621081759846709,15.168416287002227
14,0.7345408299472567,0.018980456806804966,16.080332616767766,0.7431740227381822,0.019166222752686715,15.059680701532503,0.7381038529584564,0.01563240595021473,15.238460006447346
15,0.7343682722241225,0.018341833888351314,16.187667482232683,0.7431634636091419,0.01846604309136736,15.118674684814087,0.7379360655553864,0.015107245167000084,15.307941972540275
16,0.7341721265775868,0.017708161683647472,16.29417663787646,0.743155286821979,0.017770658173827628,15.177181329473079,0.7377800856535777,0.014639362606665759,15.376851010255676
17,0.734069817310023,0.01705581942391353,16.4006227552017,0.7431492812683134,0.017081474014052397,15.235222394400393,0.7376355821707951,0.014233575902600552,15.445177206597704
18,0.7339548979951588,0.016435019886806547,16.506637331349776,0.7431452495370248,0.016399877166754364,15.292819845841043,0.7375022103406264,0.013895587324055445,15.512911972147812
19,0.733832864700641,0.015822427561177885,16.61079126651511,0.7431430073892905,0.015727218516855893,15.34999573999024,0.7373796130121323,0.013632056636375326,15.580048092552243
20,0.7337503957203126,0.015194201068717201,16.71448754423396,0.7431423832089021,0.01506479814425128,15.406772112986912,0.7372674220863559,0.013451000661035698,15.646579769242864
21,0.7336810808281906,0.014601118181733553,16.818419545503986,0.7431432174357537,0.014413851561397219,15.4631708788404,0.7371652600664659,0.013361960497042698,15.712502648859864
22,0.7336231458809526,0.014019478419046636,16.92172825076775,0.7431453619894844,0.01377553756145395,15.519213735660482,0.7370727416959537,0.013354556074965373,15.777813841037148
23,0.7335638464925257,0.013425100678313213,17.021703118426352,0.7431486796894571,0.013150927851856313,15.574922080404772,0.7369894756581774,0.013354556074965373,15.842511924398172
24,0.7335023965459982,0.01286905584679578,17.12316910185491,0.7431530436763193,0.012540998585033923,15.630316932218719,0.7369150663099707,0.013354556074965373,15.906596940806088
25,0.7334599405809659,0.012327230469623567,17.224008251245248,0.7431583368397415,0.011946623836988985,15.685418864315748,0.7368491154226864,0.013354556074965373,15.970070378092169
26,0.7334462304311647,0.01177495171161661,17.323243964218864,0.7431644512561639,0.011368571027703197,15.740247944235662,0.7367912239050646,0.013354556074965373,16.032935141666307
27,0.7334301292652393,0.011263554347481594,17.4228525645234,0.7431712876396912,0.010807498226589595,15.794823682227541,0.7367409934842581,0.013354556074965373,16.095195515571817
28,0.7334016212214025,0.010768428051135143,17.521361919403084,0.7431787548087474,0.010263953242679615,15.849164987424961,0.7366980283236363,0.013354556074965373,16.156857113691892
29,0.7333771096596328,0.010264241963765701,17.61805244848282,0.7431867691705167,0.009738374363714645,15.903290131420363,0.7366619365586791,0.013354556074965373,16.217926821939066
30,0.7333650360063999,0.009802773359814596,17.71405580518277,0.7431952542247302,0.009231092581122667,15.957216718799508,0.7366323317352155,0.013354556074965373,16.278412732362106
31,0.7333802247204365,0.009332772755490612,17.809576369098252,0.7432041400879729,0.00874233511892854,16.01096166416191,0.7366088341373653,0.013354556074965373,16.338324070182043
32,0.7333917969205674,0.008906177164695255,17.90571555813048,0.7432133630392226,0.008272230073544594,16.064541175135147,0.7365910719955555,0.013354556074965373,16.39767111482731
33,0.73339202356348,0.008497456918434766,18.00053881338704,0.7432228650871746,0.007820811967432544,16.117970740876427,0.7365786825679889,0.013354556074965373,16.45646511606872
